Date,AQI
2017-01-01,345.0
2017-01-02,337.0
2017-01-03,331.0
2017-01-04,381.0
2017-01-05,321.0
2017-01-06,351.0
2017-01-07,278.0
2017-01-08,288.0
2017-01-09,308.0
2017-01-10,247.0
2017-01-11,280.0
2017-01-12,323.0
2017-01-13,326.0
2017-01-14,384.0
2017-01-15,326.0
2017-01-16,355.0
2017-01-17,245.0
2017-01-18,317.0
2017-01-19,300.0
2017-01-20,216.0
2017-01-21,286.0
2017-01-22,365.0
2017-01-23,309.0
2017-01-24,336.0
2017-01-25,366.0
2017-01-26,324.0
2017-01-27,118.0
2017-01-28,212.0
2017-01-29,211.0
2017-01-30,
2017-01-31,366.0
2017-02-01,273.0
2017-02-02,327.0
2017-02-03,314.0
2017-02-04,336.0
2017-02-05,260.0
2017-02-06,306.0
2017-02-07,148.0
2017-02-08,254.0
2017-02-09,268.0
2017-02-10,249.0
2017-02-11,239.0
2017-02-12,274.0
2017-02-13,279.0
2017-02-14,303.0
2017-02-15,294.0
2017-02-16,284.0
2017-02-17,294.0
2017-02-18,236.0
2017-02-19,237.0
2017-02-20,243.0
2017-02-21,254.0
2017-02-22,236.0
2017-02-23,182.0
2017-02-24,226.0
2017-02-25,208.0
2017-02-26,256.0
2017-02-27,226.0
2017-02-28,266.0
2017-03-01,290.0
2017-03-02,258.0
2017-03-03,141.0
2017-03-04,173.0
2017-03-05,200.0
2017-03-06,177.0
2017-03-07,197.0
2017-03-08,194.0
2017-03-09,
2017-03-10,90.0
2017-03-11,68.0
2017-03-12,104.0
2017-03-13,150.0
2017-03-14,123.0
2017-03-15,214.0
2017-03-16,207.0
2017-03-17,226.0
2017-03-18,185.0
2017-03-19,222.0
2017-03-20,241.0
2017-03-21,251.0
2017-03-22,242.0
2017-03-23,246.0
2017-03-24,244.0
2017-03-25,197.0
2017-03-26,177.0
2017-03-27,164.0
2017-03-28,218.0
2017-03-29,
2017-03-30,151.0
2017-03-31,176.0
2017-04-01,223.0
2017-04-02,177.0
2017-04-03,154.0
2017-04-04,165.0
2017-04-05,108.0
2017-04-06,109.0
2017-04-07,351.0
2017-04-08,269.0
2017-04-09,130.0
2017-04-10,144.0
2017-04-11,162.0
2017-04-12,201.0
2017-04-13,282.0
2017-04-14,290.0
2017-04-15,307.0
2017-04-16,291.0
2017-04-17,276.0
2017-04-18,307.0
2017-04-19,262.0
2017-04-20,221.0
2017-04-21,234.0
2017-04-22,244.0
2017-04-23,193.0
2017-04-24,164.0
2017-04-25,189.0
2017-04-26,153.0
2017-04-27,
2017-04-28,183.0
2017-04-29,190.0
2017-04-30,186.0
2017-05-01,158.0
2017-05-02,240.0
2017-05-03,297.0
2017-05-04,214.0
2017-05-05,332.0
2017-05-06,284.0
2017-05-07,293.0
2017-05-08,278.0
2017-05-09,259.0
2017-05-10,187.0
2017-05-11,218.0
2017-05-12,365.0
2017-05-13,316.0
2017-05-14,284.0
2017-05-15,248.0
2017-05-16,272.0
2017-05-17,183.0
2017-05-18,235.0
2017-05-19,239.0
2017-05-20,221.0
2017-05-21,339.0
2017-05-22,228.0
2017-05-23,222.0
2017-05-24,224.0
2017-05-25,196.0
2017-05-26,250.0
2017-05-27,197.0
2017-05-28,136.0
2017-05-29,130.0
2017-05-30,162.0
2017-05-31,126.0
2017-06-01,200.0
2017-06-02,220.0
2017-06-03,215.0
2017-06-04,237.0
2017-06-05,204.0
2017-06-06,204.0
2017-06-07,126.0
2017-06-08,103.0
2017-06-09,141.0
2017-06-10,177.0
2017-06-11,118.0
2017-06-12,125.0
2017-06-13,139.0
2017-06-14,182.0
2017-06-15,231.0
2017-06-16,154.0
2017-06-17,100.0
2017-06-18,117.0
2017-06-19,210.0
2017-06-20,89.0
2017-06-21,102.0
2017-06-22,124.0
2017-06-23,148.0
2017-06-24,159.0
2017-06-25,195.0
2017-06-26,160.0
2017-06-27,135.0
2017-06-28,102.0
2017-06-29,92.0
2017-06-30,76.0
2017-07-01,114.0
2017-07-02,102.0
2017-07-03,97.0
2017-07-04,
2017-07-05,
2017-07-06,
2017-07-07,108.0
2017-07-08,93.0
2017-07-09,148.0
2017-07-10,117.0
2017-07-11,93.0
2017-07-12,62.0
